number,card_id,cn_name,en_name,file_name,size,format,main_palette,composition,core_symbols,prompt_status,asset_status,notes
0,major_00,愚者,The Fool,card_major_00_fool.webp,1024x1792,WebP,"sky blue, ivory, soft gold","young traveler at cliff edge, full-body central figure","white rose, small bundle, rising sun, cliff, open sky",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
1,major_01,魔术师,The Magician,card_major_01_magician.webp,1024x1792,WebP,"crimson, ivory, gold","standing figure at ritual table, one hand raised","wand, cup, sword, pentacle, infinity halo",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
2,major_02,女祭司,The High Priestess,card_major_02_high_priestess.webp,1024x1792,WebP,"deep blue, silver, pearl","seated priestess between two pillars","crescent moon, veil, scroll, black and white pillars",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
3,major_03,皇后,The Empress,card_major_03_empress.webp,1024x1792,WebP,"emerald, rose, warm gold","regal figure in fertile garden","wheat, pomegranate, flowing river, crown of stars",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
4,major_04,皇帝,The Emperor,card_major_04_emperor.webp,1024x1792,WebP,"burgundy, stone gray, bronze","enthroned ruler facing forward","ram motifs, stone throne, mountains, scepter",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
5,major_05,教皇,The Hierophant,card_major_05_hierophant.webp,1024x1792,WebP,"ivory, gold, muted red","ceremonial teacher in temple","keys, triple crown, pillars, blessing hand",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
6,major_06,恋人,The Lovers,card_major_06_lovers.webp,1024x1792,WebP,"rose, sky blue, sun gold","two figures under radiant presence","angelic light, tree, mountain, choice motif",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
7,major_07,战车,The Chariot,card_major_07_chariot.webp,1024x1792,WebP,"navy, silver, gold","warrior in ceremonial chariot","two sphinx-like guardians, canopy of stars, city gate",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
8,major_08,力量,Strength,card_major_08_strength.webp,1024x1792,WebP,"warm gold, white, soft green","calm figure gently taming lion","lion, infinity symbol, flowers, sunrise",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
9,major_09,隐者,The Hermit,card_major_09_hermit.webp,1024x1792,WebP,"charcoal, lantern gold, snow white","hooded elder on mountain path","lantern, staff, snow peak, solitary path",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
10,major_10,命运之轮,Wheel of Fortune,card_major_10_wheel_of_fortune.webp,1024x1792,WebP,"royal blue, gold, amber","large celestial wheel centered","zodiac symbols, clouds, four corner emblems",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
11,major_11,正义,Justice,card_major_11_justice.webp,1024x1792,WebP,"scarlet, ivory, steel gold","seated judge with balanced posture","scales, sword, pillars, square crown",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
12,major_12,倒吊人,The Hanged Man,card_major_12_hanged_man.webp,1024x1792,WebP,"teal, muted gold, moss green","serene figure suspended upside down","tree frame, halo, crossed leg, calm expression",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
13,major_13,死神,Death,card_major_13_death.webp,1024x1792,WebP,"black, bone white, pale sunrise","armored rider moving through dawn field","white horse, black banner, distant sunrise, fallen crown",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
14,major_14,节制,Temperance,card_major_14_temperance.webp,1024x1792,WebP,"white, gold, turquoise","angelic figure pouring water between cups","two cups, river, path, radiant triangle",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
15,major_15,恶魔,The Devil,card_major_15_devil.webp,1024x1792,WebP,"obsidian, ember red, smoky violet","imposing horned shadow figure above chained pair","torch, chains, inverted pentagram, dark altar",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
16,major_16,高塔,The Tower,card_major_16_tower.webp,1024x1792,WebP,"storm gray, lightning gold, ember","tower struck by lightning in storm","crown falling, flames, broken stone, storm clouds",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
17,major_17,星星,The Star,card_major_17_star.webp,1024x1792,WebP,"midnight blue, silver, pale aqua","kneeling figure pouring water under stars","eight-point star, pool, water jars, open sky",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
18,major_18,月亮,The Moon,card_major_18_moon.webp,1024x1792,WebP,"indigo, silver, mist blue","moonlit path between two towers","moon, twin towers, water, dog and wolf silhouettes",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
19,major_19,太阳,The Sun,card_major_19_sun.webp,1024x1792,WebP,"sun yellow, white, warm orange","radiant childlike figure in sunlit garden","large sun, sunflowers, white horse, banner",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
20,major_20,审判,Judgement,card_major_20_judgement.webp,1024x1792,WebP,"cloud white, gold, muted blue","figures rising toward trumpet call","angel trumpet, banners, open sky, awakening figures",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
21,major_21,世界,The World,card_major_21_world.webp,1024x1792,WebP,"violet, emerald, gold","central dancer within laurel wreath","laurel wreath, four corner emblems, flowing ribbons",ready,generated,"MVP large card art; no embedded border, frame rendered by UI"
